,City,Latitude,Longitude,Temp,Humidity,Clouds,Wind
70,omboue,-1.57,9.26,75.57,83,99,10.31
71,mayor pablo lagerenza,-19.93,-60.77,61.17,83,0,3.65
72,mehamn,71.03,27.85,40.47,78,98,6.87
73,vanatori,45.73,27.25,59.0,100,90,5.82
74,andapa,-14.66,49.65,56.67,99,42,2.91
75,port pirie,-33.18,138.01,53.6,58,0,13.87
76,hithadhoo,-0.6,73.08,85.11,73,100,11.95
77,mataura,-46.19,168.86,45.69,69,44,7.38
78,chivay,-15.64,-71.6,39.39,30,0,3.58
79,saskylakh,71.97,114.09,51.27,44,0,14.97
80,padang,-0.92,100.36,87.8,70,20,1.12
81,tashtyp,52.8,89.89,52.35,86,92,3.33
82,ferzikovo,54.52,36.76,42.8,100,0,4.47
83,longyearbyen,78.22,15.63,35.6,74,75,6.93
84,camopi,3.17,-52.33,73.05,99,100,1.66
85,saint-leu,-21.15,55.28,69.8,73,0,11.41
86,srednekolymsk,67.46,153.71,49.47,28,1,10.47
87,seoul,37.57,126.98,82.4,54,20,4.7
88,shingu,33.72,135.99,75.2,73,40,9.17
89,weligama,5.97,80.42,83.85,79,100,18.23
90,esperance,10.24,-61.45,82.0,88,75,6.93
91,yichang,30.77,111.32,73.77,86,100,3.67
92,denpasar,-8.65,115.22,82.4,83,20,17.22
93,nikolskoye,59.7,30.79,69.01,63,0,4.47
94,martapura,-3.41,114.85,84.2,74,20,6.93
95,erenhot,43.65,111.97,70.89,14,0,9.75
96,ostrovnoy,68.05,39.51,48.57,85,100,12.28
97,meulaboh,4.14,96.13,83.31,71,100,1.19
98,frutal,-20.02,-48.93,59.19,81,0,8.12
99,ust-omchug,61.13,149.63,56.13,52,90,5.32
100,sola,62.78,29.36,57.99,76,0,3.36
101,dwarka,28.58,77.04,97.0,49,40,8.05
102,dingle,11.0,122.67,94.47,40,62,9.73
103,thompson,55.74,-97.86,50.0,76,75,2.24
104,lebu,8.96,38.73,55.23,74,76,0.98
105,busselton,-33.64,115.35,66.99,24,84,34.0
106,kambove,-10.88,26.6,48.39,93,31,4.43
107,kahului,20.89,-156.47,84.2,78,40,14.99
108,rocha,-34.48,-54.34,45.15,85,59,6.4
109,vaini,15.34,74.49,77.0,78,40,12.75
110,barrow,-38.31,-60.23,58.47,67,100,20.62
111,vila velha,-3.71,-38.6,80.6,78,40,6.93
112,imbituba,-28.24,-48.67,59.0,87,0,4.7
113,cabo san lucas,22.89,-109.91,78.01,57,5,6.93
114,itacarambi,-15.1,-44.09,71.79,67,100,5.03
115,xam nua,20.42,104.04,82.59,54,30,4.92
116,kavieng,-2.57,150.8,84.39,73,98,8.01
117,jining,35.41,116.58,96.01,26,100,7.02
118,batagay-alyta,67.8,130.41,45.15,36,0,7.65
119,kodiak,39.95,-94.76,79.0,60,1,5.82
120,lilongwe,-13.97,33.79,53.25,97,0,4.81
121,okhotsk,59.36,143.24,61.53,56,7,12.17
122,itumba,-9.4,33.18,51.09,99,48,4.52
123,nalgonda,17.05,79.27,97.89,40,100,11.34
124,leningradskiy,69.38,178.42,33.63,92,100,6.89
125,zambezi,-13.55,23.12,51.27,73,0,5.75
126,saint-augustin,44.83,-0.61,61.0,93,90,2.8
127,comodoro rivadavia,-45.87,-67.48,62.6,45,0,20.8
128,vila franca do campo,37.72,-25.43,59.0,67,20,8.05
129,mount gambier,-37.83,140.78,51.8,71,90,10.29
130,kurchum,48.57,83.65,57.21,63,28,5.23
131,billings,45.79,-108.5,77.0,36,20,10.29
132,tessalit,20.2,1.01,89.25,14,0,8.43
133,chokurdakh,70.62,147.9,40.29,54,90,7.05
134,rio bueno,18.47,-77.46,84.2,79,40,10.29
135,yenagoa,4.92,6.26,74.31,97,100,3.53
136,sorong,-0.86,131.25,89.07,59,100,3.62
137,saldanha,41.42,-6.55,46.41,89,0,5.82
138,te anau,-45.41,167.72,38.67,71,51,2.28
139,marsh harbour,26.54,-77.06,79.89,81,53,10.4
140,bilibino,68.06,166.44,37.95,87,87,3.6
141,cap malheureux,-19.98,57.61,73.4,73,40,17.22
142,porto walter,-8.27,-72.74,73.41,82,0,1.7
143,olinda,-2.03,-79.75,77.0,83,75,11.41
144,hami,42.84,93.51,80.97,13,0,4.09
145,horsham,-36.71,142.2,53.43,61,15,11.01
146,mitu,36.2,46.09,69.27,49,100,1.52
147,ribeira grande,38.52,-28.7,62.25,67,3,9.69
148,poum,41.28,20.71,46.41,93,58,1.45
149,coquimbo,-29.95,-71.34,57.99,93,90,2.24
150,hohoe,7.15,0.48,76.29,87,100,5.46
151,apple valley,34.5,-117.19,84.0,39,40,8.05
152,khatanga,71.98,102.47,51.99,62,46,3.67
153,yellowknife,62.45,-114.38,46.4,93,75,6.93
154,sur,22.57,59.53,93.39,38,20,10.07
155,port arthur,29.9,-93.93,77.0,100,90,8.43
156,east london,-33.02,27.91,68.01,17,0,11.9
157,flinders,-34.58,150.85,59.0,54,75,11.41
158,airai,-8.93,125.41,85.65,48,7,6.98
159,uige,-7.61,15.06,61.17,35,0,4.52
160,salalah,17.01,54.1,84.2,83,40,5.82
161,lavrentiya,65.58,-170.99,62.07,39,0,5.97
162,victor harbor,-35.55,138.62,60.01,58,75,8.05
163,bargarh,25.14,81.45,102.03,20,0,6.15
164,tottori,35.5,134.23,80.6,65,40,6.93
165,la crosse,43.8,-91.24,64.4,93,75,3.36
166,ola,59.58,151.3,47.85,75,41,1.57
167,guerrero negro,27.97,-114.04,65.49,87,0,12.19
168,nome,30.04,-94.42,77.0,94,75,4.7
169,ust-kulom,61.69,53.69,49.65,50,0,2.57
170,talcahuano,-36.72,-73.12,55.4,100,90,11.41
171,tautira,-17.73,-149.15,84.2,66,20,12.75
172,necochea,-38.55,-58.74,53.01,80,100,17.0
173,sobolevo,54.43,31.9,58.11,93,0,8.01
174,caravelas,-17.73,-39.27,76.11,71,98,14.12
175,torbay,47.66,-52.73,55.4,100,90,11.41
176,haines junction,60.75,-137.51,53.79,43,78,4.79
177,vitim,59.44,112.57,64.95,38,100,7.7
178,mustafabad,29.64,77.11,98.79,23,0,12.44
179,abu dhabi,24.47,54.37,89.6,27,5,8.05
180,axim,4.87,-2.24,76.65,89,100,6.33
181,litovko,49.24,135.18,72.51,51,1,6.2
182,mizdah,31.45,12.98,68.91,45,0,8.46
183,nemuro,43.32,145.57,55.4,87,75,3.36
184,itarema,-2.92,-39.92,76.65,88,37,5.82
185,provideniya,64.42,-173.23,42.8,81,20,8.95
186,muros,42.77,-9.06,55.99,93,40,2.24
187,suifenhe,44.39,131.16,76.83,38,0,1.79
188,kruisfontein,-34.0,24.73,57.75,72,16,8.81
189,urucara,-2.54,-57.76,74.49,97,0,1.07
190,severobaykalsk,55.65,109.32,37.41,98,100,7.27
191,kenitra,34.26,-6.57,66.99,77,40,4.7
192,atambua,-9.11,124.89,83.31,64,43,14.05
193,grindavik,63.84,-22.43,42.8,75,75,23.04
194,corinto,-18.36,-44.46,62.25,73,4,5.06
195,san rafael,-34.61,-68.33,55.41,21,98,12.28
196,cap-aux-meules,47.38,-61.86,48.2,81,20,10.29
197,toma,43.82,142.6,62.6,82,75,4.7
198,yumen,40.29,97.04,82.05,12,7,18.32
199,alofi,-19.06,-169.92,78.8,74,9,17.22
200,vao,59.1,26.19,61.35,82,0,6.55
201,hegra,63.46,11.11,46.0,100,0,8.05
202,rio gallegos,-51.62,-69.22,39.57,98,100,2.57
203,fuchu,36.65,137.14,84.99,48,75,4.7
204,santander,9.42,123.33,86.0,70,75,9.17
205,mar del plata,-46.43,-67.52,51.81,57,67,25.75
206,mitsamiouli,-11.38,43.28,80.43,72,1,13.76
207,mango,44.69,8.15,68.0,77,75,3.36
208,camacha,33.08,-16.33,64.4,72,40,13.87
209,hofn,64.25,-15.21,29.31,85,100,23.04
210,cueto,20.65,-75.94,78.8,83,20,8.05
211,yaan,7.38,8.57,76.47,87,99,6.71
212,liwale,-9.8,37.92,61.71,75,0,7.72
213,hasaki,35.73,140.83,79.0,69,75,5.82
214,brae,60.4,-1.35,44.6,93,99,1.88
215,tefe,-3.35,-64.71,74.31,97,66,1.48
216,de aar,-30.65,24.01,50.91,46,0,11.01
217,tabou,4.42,-7.36,74.13,91,78,2.17
218,pangnirtung,66.15,-65.72,42.45,50,1,2.04
219,mpulungu,-8.77,31.12,54.33,80,0,10.47
220,roswell,33.39,-104.52,73.99,53,1,13.87
221,murray bridge,-35.12,139.28,60.01,73,22,7.7
222,katsuura,33.93,134.5,79.0,65,40,8.05
223,waddan,29.16,16.14,76.47,32,0,11.43
224,burjuc,45.95,22.49,55.77,97,98,2.75
225,sayyan,15.17,44.32,72.69,48,9,0.98
226,ust-tsilma,65.44,52.15,46.95,57,99,8.9
227,eha amufu,6.65,7.77,78.8,88,75,5.82
228,tombouctou,16.77,-3.01,88.17,10,1,8.23
229,temerloh,3.45,102.42,89.97,52,73,1.72
230,taoudenni,22.68,-3.98,90.69,7,36,5.68
231,san patricio,-26.98,-56.83,52.89,92,0,5.17
232,dikson,73.51,80.55,32.37,93,52,7.54
233,borovskoy,53.8,64.15,48.21,63,100,21.27
234,prince rupert,54.32,-130.32,51.8,81,90,8.05
235,gamba,28.28,88.52,45.87,31,0,6.58
236,rawson,-43.3,-65.11,60.45,43,100,22.06
237,sao filipe,14.9,-24.5,74.31,85,0,12.71
238,bethel,60.79,-161.76,71.6,43,20,11.41
239,el tigre,8.89,-64.25,79.53,74,100,11.39
240,nerchinskiy zavod,51.31,119.61,56.13,60,100,11.54
241,sungairaya,0.7,108.9,82.95,76,15,10.47
242,arraial do cabo,-22.97,-42.02,70.71,72,19,15.01
243,haapiti,-17.57,-149.87,84.2,66,20,12.75
244,povenets,62.85,34.83,59.19,92,83,6.67
245,lebork,54.54,17.75,69.01,72,0,1.12
246,hualmay,-11.1,-77.61,61.53,94,26,14.65
247,mingshui,22.81,109.89,86.55,73,100,10.54
248,launceston,-41.43,147.14,55.0,57,75,12.75
249,faanui,-16.48,-151.75,81.69,73,0,13.49
250,tuatapere,-46.13,167.69,48.57,63,93,22.28
251,sorland,67.67,12.69,47.85,90,80,13.85
252,souillac,45.6,-0.6,61.0,93,90,4.41
253,kawalu,-7.38,108.21,82.23,63,41,4.68
254,motema,8.55,-11.35,70.71,99,100,1.52
255,san nicolas,14.94,-88.33,70.35,93,60,1.57
256,plettenberg bay,-34.05,23.37,57.57,81,37,6.69
257,barroquinha,-3.02,-41.13,75.39,92,75,4.36
258,port elizabeth,39.31,-74.98,68.0,59,90,6.93
259,daura,13.04,8.32,90.33,38,79,20.42
260,sisimiut,66.94,-53.67,43.53,61,0,8.5
261,dzaoudzi,-12.79,45.27,78.8,83,0,5.82
262,malpura,26.29,75.37,98.07,28,0,24.23
263,maceio,-9.67,-35.74,69.8,88,0,4.7
264,coihaique,-45.58,-72.07,42.8,100,90,2.24
265,sao joao da barra,-21.64,-41.05,59.01,76,0,3.6
266,santander jimenez,24.22,-98.47,80.07,74,42,8.77
267,muncar,-8.43,114.34,83.49,64,40,4.56
268,blue springs,39.02,-94.28,80.01,83,1,4.7
269,manokwari,-0.87,134.08,83.49,59,50,5.46
270,pochutla,15.74,-96.47,82.4,78,75,3.36
271,ormara,25.21,64.64,95.37,24,50,7.49
272,shasta lake,40.68,-122.36,98.6,25,4,6.93
273,iqaluit,63.75,-68.52,35.6,59,75,4.7
274,chuy,-33.69,-53.46,59.01,64,3,11.18
275,hervey bay,-25.3,152.85,73.0,42,100,8.05
276,yabrud,33.97,36.66,66.99,42,0,6.93
277,petropavlovskaya,45.08,40.45,68.19,87,0,7.7
278,tiznit,29.7,-9.73,66.75,89,28,11.36
279,aktau,43.65,51.16,75.2,41,0,15.66
280,havre-saint-pierre,50.23,-63.6,44.6,87,90,4.7
281,muzhi,65.4,64.7,34.89,98,100,9.73
282,tiarei,-17.53,-149.33,84.2,66,20,12.75
283,yeppoon,-23.13,150.74,69.8,28,0,5.82
284,hovd,63.83,10.7,53.01,100,0,8.05
285,tahoua,14.89,5.26,90.87,37,81,24.2
286,mogadishu,2.04,45.34,76.83,81,23,10.07
287,fairbanks,64.84,-147.72,70.0,21,90,3.85
288,geraldton,49.72,-86.95,59.0,33,75,6.93
289,ridgecrest,35.62,-117.67,91.0,26,5,5.99
290,margate,-43.03,147.26,53.6,50,75,26.4
291,kaniama,-7.57,24.18,61.89,49,27,5.7
292,vaitape,-16.52,-151.75,81.69,73,0,13.49
293,laguna de perlas,12.34,-83.67,76.47,96,54,2.28
294,alice springs,-23.7,133.88,51.8,43,0,17.22
295,chumikan,54.72,135.31,52.89,67,7,7.2
296,weyburn,49.67,-103.85,66.99,23,0,4.0
297,sabang,13.72,123.58,87.27,69,31,8.66
298,magdagachi,53.45,125.8,78.63,28,0,7.78
299,cururupu,-1.82,-44.87,73.41,97,100,0.63
300,tasiilaq,65.61,-37.64,39.2,51,1,10.29
301,praia da vitoria,38.73,-27.07,61.0,72,40,8.5
302,great falls,47.5,-111.29,75.2,22,1,11.41
303,port lincoln,-34.72,135.86,56.67,54,3,4.5
304,mackay,53.65,-115.58,60.8,31,40,5.82
305,madang,-5.21,145.81,87.45,45,38,4.56
306,nador,35.17,-2.93,68.0,72,1,19.46
307,apricena,41.78,15.44,62.01,87,5,2.24
308,paita,-5.09,-81.11,67.11,91,29,14.7
309,jacareacanga,-6.22,-57.76,75.57,79,1,0.94
310,saint-philippe,45.36,-73.48,54.0,81,20,14.99
311,allapalli,19.43,80.06,99.33,39,93,9.37
312,chernyshevskiy,63.01,112.47,67.83,31,40,5.97
313,bonavista,48.65,-53.11,53.01,81,100,5.99
314,bambanglipuro,-7.95,110.28,81.33,77,100,8.39
315,macusani,-14.07,-70.43,32.73,84,10,2.15
316,shakiso,5.77,38.9,55.41,99,98,1.43
317,belomorsk,64.52,34.76,55.05,84,98,7.61
318,soma,37.8,140.92,90.0,73,75,11.41
319,morgan city,29.7,-91.21,82.99,83,75,5.61
320,el reno,35.53,-97.96,79.0,88,1,6.93
321,scarborough,54.28,-0.41,52.0,93,59,8.05
322,la reforma,14.8,-91.82,80.6,88,75,5.82
323,lasa,34.92,32.53,69.8,72,100,2.24
324,vostok,46.45,135.83,73.23,38,39,5.26
325,husavik,50.56,-96.99,64.0,65,41,4.0
326,lodja,-3.52,23.6,65.85,68,0,1.74
327,camabatela,-8.19,15.37,58.65,42,0,1.74
328,kaitangata,-46.28,169.85,48.0,57,23,11.01
329,danielskuil,-28.19,23.54,50.37,31,0,12.46
330,camocim,-2.9,-40.84,74.85,94,39,4.32
331,ketchikan,55.34,-131.65,53.6,87,90,13.87
332,sawakin,19.1,37.33,83.31,30,0,1.45
333,namatanai,-3.66,152.44,82.59,80,46,8.03
334,narsaq,60.91,-46.05,44.6,56,28,4.7
335,mahur,25.18,93.12,89.97,49,2,1.92
336,sandnessjoen,66.02,12.63,51.8,87,71,11.41
337,tagab,34.85,69.65,62.6,59,75,5.73
338,berlevag,70.86,29.09,40.65,84,99,9.84
339,coos bay,43.37,-124.22,59.0,71,1,11.41
340,lorengau,-2.02,147.27,82.59,85,100,5.44
341,shahr-e babak,30.12,55.12,74.13,15,0,4.18
342,gigmoto,13.78,124.39,87.27,69,13,7.85
343,areia branca,-10.76,-37.31,77.0,78,0,5.82
344,port hardy,50.7,-127.42,51.8,81,90,6.93
345,meghraj,23.5,73.5,91.05,46,0,13.09
346,jaisalmer,26.91,70.91,93.39,48,0,13.18
347,chapais,49.78,-74.86,42.8,87,90,5.88
348,wendo,6.6,38.42,66.57,82,87,2.24
349,kysyl-syr,63.9,122.77,64.59,67,99,4.45
350,pevek,69.7,170.27,31.47,89,38,8.72
351,dalby,-27.18,151.26,66.99,51,0,5.82
352,deputatskiy,69.3,139.9,46.59,34,0,14.72
353,klaksvik,62.23,-6.59,41.0,93,98,6.93
354,port blair,11.67,92.75,85.83,77,39,10.56
355,riberalta,-11.0,-66.08,70.17,83,31,2.93
356,tyret pervaya,53.67,102.31,63.69,38,51,3.74
357,kurkino,53.42,38.66,55.23,84,0,5.48
358,auki,12.18,6.51,86.37,48,56,8.63
359,vardo,39.62,-77.74,69.01,60,1,6.93
360,wiwili,13.63,-85.83,71.01,91,27,1.99
361,luderitz,-26.65,15.16,62.6,72,0,8.05
362,castrillon,43.4,-6.79,53.6,87,40,8.05
363,sitka,37.17,-99.65,76.65,50,2,8.81
364,bud,62.91,6.91,50.0,93,18,4.7
365,kimbe,-5.56,150.15,91.23,51,96,6.76
366,biak,-0.91,122.88,69.09,95,99,3.47
367,sinnamary,5.38,-52.96,80.79,81,89,11.23
368,ardmore,34.99,-86.85,77.0,88,20,7.07
369,gat,14.69,-16.54,71.6,88,75,4.7
370,batemans bay,-35.71,150.18,60.01,49,1,4.0
371,shimoda,34.7,138.93,73.99,73,75,3.36
372,nanortalik,60.14,-45.24,37.41,85,18,0.47
373,znamenskoye,57.13,73.82,57.39,78,100,8.95
374,nombre de dios,23.85,-104.24,71.01,56,75,19.46
375,hongjiang,27.21,109.83,81.15,72,100,11.27
376,shache,38.42,77.24,68.0,61,43,13.15
377,riviere-au-renard,49.0,-64.4,48.2,93,90,2.24
378,brewster,41.76,-70.08,61.0,72,75,13.87
379,inyonga,-6.72,32.06,60.09,65,54,7.54
380,fonte boa,-2.51,-66.09,76.47,91,87,1.66
381,gillette,44.29,-105.5,66.2,59,1,3.36
382,pimentel,-3.7,-45.5,71.97,97,23,2.08
383,half moon bay,37.46,-122.43,80.01,87,1,9.17
384,labuhan,-2.54,115.51,92.31,51,18,1.48
385,mbuji-mayi,-6.13,23.6,65.49,50,9,3.44
386,vilyuysk,63.75,121.63,68.91,52,96,5.41
387,eyl,7.98,49.82,79.89,66,100,21.94
388,kinablangan,7.69,126.55,84.57,68,52,3.94
389,zhireken,52.82,117.29,58.47,55,96,12.66
390,kayerkan,69.35,87.76,42.8,97,0,11.18
391,daru,7.99,-10.85,71.79,99,100,0.49
392,ambon,47.55,-2.56,54.0,93,3,3.36
393,robertsport,6.75,-11.37,77.73,86,100,4.14
394,havelock,34.88,-76.9,77.0,68,1,5.82
395,blackwater,51.33,-0.78,55.99,93,0,8.05
396,clyde river,70.47,-68.59,33.8,63,40,5.82
397,corralillo,22.98,-80.59,80.79,79,100,7.56
398,mapiri,-15.31,-68.22,48.57,91,28,3.69
399,newberry,46.35,-85.51,51.8,93,1,4.7
400,itupiranga,-5.13,-49.33,80.6,83,20,4.7
401,akdagmadeni,39.66,35.88,61.35,61,3,2.13
402,dunedin,-45.87,170.5,48.0,53,1,20.0
403,los llanos de aridane,28.66,-17.92,69.8,77,90,10.29
404,bani walid,31.76,14.0,67.65,48,0,8.01
405,anaco,9.43,-64.46,79.89,69,100,10.76
406,stulovo,55.85,38.31,62.01,81,0,4.47
407,massakory,13.0,15.73,92.85,43,97,9.64
408,port-gentil,-0.72,8.78,75.93,83,97,11.88
409,ambulu,-8.35,113.61,81.87,76,48,7.38
410,puerto carreno,6.19,-67.49,77.0,94,75,5.88
411,puerto penasco,31.32,-113.53,73.99,74,0,3.0
412,kalmar,56.66,16.36,54.0,100,65,3.36
413,surt,31.21,16.59,69.45,75,0,10.36
414,uusikaupunki,60.8,21.41,54.0,93,0,2.24
415,constitucion,23.99,-104.67,71.01,56,75,19.46
416,yulara,-25.24,130.99,53.6,46,0,18.34
417,pacific grove,36.62,-121.92,77.0,60,1,10.29
418,bayanday,53.07,105.52,57.39,44,0,6.42
419,rundu,-17.91,19.77,53.6,40,0,3.36
420,bonfim,-20.33,-44.24,60.8,72,0,5.82
421,deblin,51.56,21.85,64.0,93,0,2.24
422,san cristobal,-0.39,-78.55,60.8,72,40,3.36
423,sumbe,-11.2,13.84,74.67,85,0,8.86
424,faya,18.39,42.45,64.4,63,0,2.21
425,quimper,48.0,-4.1,52.0,100,40,3.36
426,antofagasta,-23.65,-70.4,59.0,72,90,5.82
427,salair,54.23,85.8,61.71,67,0,5.14
428,kedrovyy,56.17,91.82,66.2,37,0,4.47
429,codrington,-28.95,153.24,66.2,48,40,12.75
430,bijar,35.87,47.6,68.55,36,100,3.24
431,turukhansk,65.8,87.96,56.85,38,30,7.87
432,abha,18.22,42.5,64.4,63,0,5.79
433,talnakh,69.49,88.39,42.8,72,0,11.18
434,kutum,14.2,24.66,80.07,43,69,6.04
435,seymchan,62.93,152.39,53.43,57,66,5.14
436,bandarbeyla,9.49,50.81,79.89,74,100,12.82
437,mirnyy,56.57,36.46,54.69,84,0,4.76
438,walvis bay,-22.95,14.51,48.2,93,0,3.36
439,sao miguel do araguaia,-13.28,-50.16,74.31,68,3,2.64
440,amahai,-3.31,129.0,79.53,85,90,12.06
441,xuddur,4.12,43.89,71.79,83,29,15.21
442,gambela,8.25,34.59,66.93,91,99,3.18
443,corredor,-11.83,-41.77,60.27,95,0,4.43
444,fort nelson,58.81,-122.69,53.6,58,75,8.05
445,luwuk,-0.95,122.79,69.09,95,99,3.47
446,puerto escondido,15.86,-97.07,82.4,78,75,3.36
447,pontes e lacerda,-15.23,-59.33,64.23,91,0,4.94
448,hermiston,45.84,-119.29,84.2,28,1,8.05
449,torata,-17.08,-70.84,56.67,44,0,1.28
450,ahuimanu,21.44,-157.84,87.01,58,40,17.22
451,komsomolskiy,67.55,63.78,29.13,92,2,5.61
452,panan,15.26,120.04,93.2,59,75,2.24
453,neuquen,-38.95,-68.06,53.6,81,40,3.36
454,pierre,44.37,-100.35,71.6,60,1,9.17
455,marfino,56.07,37.56,62.01,58,0,2.24
456,kirakira,-10.46,161.92,84.03,76,80,7.99
457,russellville,35.28,-93.13,75.0,88,1,3.36
458,alikalia,9.15,-11.39,69.81,99,100,2.62
459,doha,25.29,51.53,89.6,55,0,6.93
460,shenjiamen,29.96,122.3,77.01,80,100,11.81
461,maragogi,-9.01,-35.22,71.79,90,12,4.45
462,brive-la-gaillarde,45.16,1.53,54.0,95,100,1.01
463,mutoko,-17.4,32.23,50.91,75,0,2.91
464,kopavogur,64.11,-21.91,42.8,75,75,23.04
465,dudinka,69.41,86.18,42.8,88,0,11.18
466,maine-soroa,13.21,12.02,93.21,27,100,2.55
467,miyako,33.63,130.94,93.0,58,20,8.05
468,eureka,40.8,-124.16,57.0,82,1,11.41
469,venice,27.1,-82.45,81.0,78,1,5.82
470,florida,21.53,-78.23,77.0,94,20,9.17
471,caazapa,-26.15,-56.4,53.07,92,0,3.29
472,marsala,37.8,12.44,70.0,87,0,4.7
473,lompoc,34.64,-120.46,64.4,100,90,6.93
474,wenling,28.38,121.38,98.01,79,9,1.01
475,dzhebariki-khaya,62.22,135.8,77.19,29,55,4.07
476,oskarshamn,57.26,16.44,54.0,100,69,3.36
477,sabya,16.19,43.1,89.97,58,0,2.8
478,las torres de cotillas,38.03,-1.24,66.0,77,84,1.12
479,pervoye maya,40.63,73.68,63.0,80,95,18.01
480,napanee,44.25,-76.95,52.0,100,90,4.7
481,anadyr,64.73,177.51,53.6,58,20,11.18
482,waingapu,-9.65,120.26,81.69,64,86,15.28
483,grand gaube,-20.01,57.66,73.4,73,40,17.22
484,carnot,4.94,15.87,68.73,96,56,1.7
485,inverness,57.48,-4.23,50.0,93,75,16.11
486,lagoa,37.14,-8.45,61.0,77,0,9.17
487,kushima,31.5,131.29,82.99,78,20,6.93
488,oyama,36.31,139.8,82.0,64,75,9.17
489,cusco,-13.52,-71.98,48.2,57,2,2.24
490,flin flon,54.77,-101.88,58.11,46,32,4.9
491,marsa matruh,31.35,27.25,71.6,83,20,3.36
492,pisco,-13.71,-76.2,64.4,77,90,12.75
493,bauta,22.98,-82.55,80.6,83,40,8.05
494,aromashevo,56.86,68.64,55.05,95,100,8.88
495,banda aceh,5.56,95.32,84.39,67,98,1.61
496,dalbandin,28.9,64.41,83.31,17,0,12.84
497,the valley,18.22,-63.06,82.4,83,20,11.41
